,Name,degree_centrality,betweenness_centrality,eigenvector_centrality
0,Donald Trump,0.7857142857142857,0.24029304029304033,0.39500436232055136
1,Ted Cruz,0.6428571428571428,0.07545787545787545,0.36799460575814663
2,Hillary Clinton,0.6428571428571428,0.1923076923076923,0.2914152029407792
3,Clinton,0.6428571428571428,0.1923076923076923,0.2914152029407792
4,Trump,0.5714285714285714,0.05128205128205129,0.3384696216254595
5,Obama,0.5714285714285714,0.04798534798534798,0.3446218454132201
6,Bush,0.5,0.011355311355311355,0.2973680038704978
7,George W. Bush,0.42857142857142855,0.0021978021978021982,0.2739952435255713
8,Jeb Bush,0.42857142857142855,0.02197802197802198,0.24365131483749744
9,Cruz,0.2857142857142857,0.0,0.1928805081286484
10,Bernie Sanders,0.21428571428571427,0.0,0.1348310268370501
11,Hillary,0.14285714285714285,0.0,0.08036524225507831
12,Bill Clinton,0.14285714285714285,0.0,0.08036524225507831
13,Barack Obama,0.14285714285714285,0.0,0.08036524225507831
14,Marco Rubio,0.14285714285714285,0.0,0.08806181151135146
